TRT,REP,ENV,DTH,GFD,PHT,TNS,TGW,KA,KW,KL,KC,KLW,KPS,GWS
24,3,GH22,50,42,81,20,46.58227848,17.35208362,3.632466292,6.528026294,1.324330231,1.8130072,39.5,1.855
24,1,FL22,43,29,,,,,,,,,,
24,2,FL22,42,28,,,,,,,,,,
24,1,GH23,45,28,103,16.75,45.54404145,17.34385301,3.617033827,6.486721886,1.305200359,1.797942561,48.25,1.6975
24,2,GH23,45,28,105,19.25,46.51515152,17.6953085,3.657746056,6.534097244,1.30999568,1.799381881,49.5,1.1375
24,1,FL23,42,37,87.66666667,17.875,28.2234957,14.56041362,2.960280245,6.327320663,1.446576347,2.125642764,43.625,1.525
24,2,FL23,43,35,84,16.125,32.84090909,13.40763256,3.136018087,6.196258502,1.499684166,2.142552341,44,1.58625
25,1,GH22,82,,116,26,32.73170732,14.68189832,3.486942112,5.797988695,1.297630703,1.678848512,51.25,1.7175
25,2,GH22,78,28,109,20.75,38.02631579,14.88740392,3.646719606,5.518758451,1.231089112,1.522176281,38,1.655
25,3,GH22,55,37,113,21.5,40.79096045,15.99096574,3.593237135,6.009158504,1.273434648,1.681874012,44.25,1.905
25,1,FL22,49,31,,,,,,,,,,
25,2,FL22,49,31,,,,,,,,,,
25,1,GH23,,,88,17.25,36.17021277,15.7310636,3.51780947,6.205684567,1.330850742,1.776632163,35.25,1.31
25,2,GH23,53,21,105,17.75,44.24050633,18.24458344,3.570736958,6.959207624,1.362517007,1.962361635,39.5,1.5
25,1,FL23,50,35,93,16.625,35.78313253,14.6596131,3.471473781,5.676188313,1.281309985,1.686767094,31.125,1.9
25,2,FL23,51,34,86.33333333,15.875,34.83282675,15.11638275,3.44587052,5.765771986,1.278734383,1.689053869,41.125,2.0475
26,1,GH22,45,39,84,17.25,41.71779141,15.84863919,3.595436961,5.935248058,1.257446249,1.658762116,40.75,1.08
26,2,GH22,42,32,92,19,42.26027397,16.06228785,3.629634889,5.960519315,1.24619818,1.646876694,36.5,1.4
26,3,GH22,42,36,103,18,46.3583815,17.50318599,3.675967089,6.476394717,1.30143327,1.773363867,43.25,1.75
26,1,FL22,38,25,,,,,,,,,,
26,2,FL22,41,34,,,,,,,,,,
26,2,FL22,37,23,,,,,,,,,,
26,1,GH23,42,26,76,18.25,44.7,17.72243228,3.432665946,7.177180049,1.466364752,2.148767741,50,2.805
26,2,GH23,45,32,83,16,36.55629139,15.67635219,3.106836473,6.952904018,1.535828468,2.316462683,37.75,1.095
26,1,FL23,36,33,86.66666667,13.75,33.31081081,14.58305987,3.183998108,6.303649659,1.387320028,2.00543148,37,1.3125
